Provider Code,Provider Name,Cancer.Alliance.Code,Cancer.Alliance,Independent provider,Source
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,E56000005,Cheshire and Merseyside Cancer Alliance,0,"""The Under 16 Cancer Patient Experience Survey (U16 CPES) aims to find out what is good about the cancer and tumour care being given to children, and what could be better. Children and young people (aged under 16) who have received cancer or tumour care in a Principal Treatment Centre, and their parents or carers, are invited to take part. Some children who are 16 years old may also be sent a survey if they received care within the past year as a 15 year old. Results are published at a national and local (Principal Treatment Centre) level, on the U16 CPES website.  The Principal Treatment Centre within Cheshire and Merseyside is Alder Hey. You can view an overview of the 2020 results here."" https://cmcanceralliance.nhs.uk/work/patient-experience-and-health-inequalities/under-16-cancer-patient-experience-survey"
NYT,ASSURA EAST RIDING LLP,E56000026,Humber and North Yorkshire Cancer Alliance,1,"independent care provider (Run by HCRG care group, address is ""Melton Court, Gibson Lane, Melton, Humberside, HU14 3HH"": https://www.cqc.org.uk/location/1-151348139 ; which is ""independent provider"" https://www.hcrgcaregroup.com/ ; Address located in Humber and North Yorkshire CA https://www.england.nhs.uk/cancer/cancer-alliances-improving-care-locally/) "
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,E56000022,East of England - North Cancer Alliance,0,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST is part of NHS Cambridgeshire And Peterborough Integrated Care Board which is part of East of England - North CA
NVM,EPSOMEDICAL GROUP,multiple,multiple,1,"(""Epsomedical is a small, independent hospital group"" ""We are not part of any NHS Trust or private hospital group, but have developed as a local provider for Surrey and SW London with units in Epsom and Cobham."" https://www.epsomedical.co.uk/language/en-GB/About-Us); Facilities in both Surrey and Sussex Cancer Alliance and SW London / RM Partners CA"
NV1,INHEALTH LIMITED,multiple,multiple,1,"Fix - Exclude; Independent provider, located across England in multiple cancer alliances) https://www.inhealthgroup.com/locations"
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,E56000019,Greater Manchester Cancer Alliance,0,"Combine w other NHS trust data! (""Northern Care Alliance NHS Foundation Trust (NCA) brings together staff and services from Salford Royal NHS Foundation Trust and The Pennine Acute Hospitals NHS Trust.  We are now one of the largest NHS providers in the country, working together as a group since 2016 and formally established on 1 October 2021."" https://www.northerncarealliance.nhs.uk/about-us)"
NTP,PRACTICE PLUS GROUP,multiple,multiple,1,Fix - Exclude; independent (https://practiceplusgroup.com/ ; locations all across England https://practiceplusgroup.com/hospitals/)
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,E56000022,East of England - North Cancer Alliance,0,Matched to East of England North cancer alliance based on map ([Papworth is north of Cambridge NHS trust which is in North alliance] https://www.canceralliance.co.uk/) 
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,E56000005,Cheshire and Merseyside Cancer Alliance,0,(Part of Cheshire and Merceyside Cancer Alliance (https://cmcanceralliance.nhs.uk/news/cancer-centre-one-countrys-top-hospitals)
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,E56000027,North Central London Cancer Alliance,0,(https://www.nclcanceralliance.nhs.uk/north-central-london-cancer-alliance-map/)
